Obs#	year	month	day	SO2	NO2	Dust	Admission
1	94	1	1	21.3	74.69	142.82	177
2	94	1	2	12.35	64.81	99	231
3	94	1	3	44.53	90.17	74	267
4	94	1	4	26.41	78.79	71.67	229
5	94	1	5	20.99	74.97	85.33	232
6	94	1	6	46.73	102.92	99	187
7	94	1	7	15.42	63.9	99	216
8	94	1	8	36.19	78.98	102.67	180
9	94	1	9	48.93	97.26	128.21	173
10	94	1	10	21.66	76.84	86.58	244
11	94	1	11	14.79	61.12	79.33	193
12	94	1	12	24.27	70.85	62.96	204
13	94	1	13	26.88	62.47	72.5	186
14	94	1	14	16.66	43.08	36.04	160
15	94	1	15	14.49	53.41	52.18	165
16	94	1	16	12.7	56.1	53.21	162
17	94	1	17	21.64	65.25	48.79	249
18	94	1	18	29.6	55.71	71.68	210
19	94	1	19	13.15	39.89	40.5	204
20	94	1	20	18.9	38.9	51.5	189
21	94	1	21	21.32	60.1	57.29	187
22	94	1	22	27.51	68.63	73.71	161
23	94	1	23	24.29	72.19	73.95	167
24	94	1	24	24.61	78.37	99	237
25	94	1	25	40.8	97.96	99	252
26	94	1	26	41.53	111.44	94.04	238
27	94	1	27	33.54	91.4	93.86	212
28	94	1	28	35.39	98.73	114.39	226
29	94	1	29	20.7	66.88	95.25	237
30	94	1	30	12.49	48.96	63.71	218
31	94	1	31	16.11	61.55	47.58	251
32	94	2	1	38.64	106.94	72.05	250
33	94	2	2	20.04	65.37	87.59	214
34	94	2	3	12.08	58.15	57.27	205
35	94	2	4	12.12	63.49	42.33	202
36	94	2	5	16.95	76.89	70.13	213
37	94	2	6	30.28	71.35	61.25	192
38	94	2	7	29.81	65.64	47.39	201
39	94	2	8	25.01	70.81	80.13	206
40	94	2	9	13.34	50.64	64.35	168
41	94	2	10	4	40.52	77.92	156
42	94	2	11	12.22	61.57	82.58	235
43	94	2	12	6.98	37.72	34.04	225
44	94	2	13	2.75	32.93	25.21	202
45	94	2	14	8.24	49.71	39.29	270
46	94	2	15	12.98	41.9	54.29	243
47	94	2	16	6.66	38.62	24.04	227
48	94	2	17	9.33	37.95	21.95	193
49	94	2	18	7.37	45.16	16.91	214
50	94	2	19	15	50.33	27.46	186
51	94	2	20	12.03	41.78	33.83	188
52	94	2	21	15.99	60.6	63.74	223
53	94	2	22	13.39	60.23	93.79	239
54	94	2	23	29.11	71.37	109.86	244
55	94	2	24	27.99	59.29	84.38	246
56	94	2	25	14.46	38.71	23.04	207
57	94	2	26	12.65	40.07	34.08	232
58	94	2	27	11.22	38.29	23.13	174
59	94	2	28	13.49	42.01	32.61	237
60	94	3	1	15.46	53.09	36.06	240
61	94	3	2	17.53	52.96	45.72	242
62	94	3	3	31.86	88.92	70.83	251
63	94	3	4	18.75	74	45.56	225
64	94	3	5	15.73	70.94	64.6	248
65	94	3	6	11.17	65.4	57.67	221
66	94	3	7	37.98	76.85	74.89	305
67	94	3	8	42.83	58.27	53.1	286
68	94	3	9	11.1	60.05	32.8	237
69	94	3	10	13.14	45.28	21.38	232
70	94	3	11	15.66	60.3	37.76	200
71	94	3	12	34.79	81.31	68.56	253
72	94	3	13	15.14	52.86	45.74	191
73	94	3	14	11.92	41.47	99	300
74	94	3	15	13.96	47.08	35.35	244
75	94	3	16	28.79	74.23	80.29	283
76	94	3	17	29.93	63.78	70	247
77	94	3	18	23.75	62.59	45.58	234
78	94	3	19	25.06	57.32	39.23	216
79	94	3	20	8.67	42.57	18.82	214
80	94	3	21	15.06	73.82	80.04	271
81	94	3	22	16.6	66.21	55.02	252
82	94	3	23	21	66.31	50.53	265
83	94	3	24	18.59	76.73	105.85	270
84	94	3	25	22.5	83.94	94.5	242
85	94	3	26	17.07	65.99	74.94	228
86	94	3	27	8.86	47.89	61.4	246
87	94	3	28	15.56	70.36	39.13	291
88	94	3	29	14.23	72.46	35.25	280
89	94	3	30	15.75	73.23	53.02	293
90	94	3	31	11.8	66.49	46.13	206
91	94	4	1	19.2	76.09	41.91	194
92	94	4	2	28.86	81.68	66.11	248
93	94	4	3	15.01	59.3	39.82	227
94	94	4	4	22.44	63.92	38.79	222
95	94	4	5	27.79	52.04	32.26	237
96	94	4	6	21.91	42.01	36.02	273
97	94	4	7	29.52	45.45	36.44	248
98	94	4	8	19.59	48.85	37.96	218
99	94	4	9	7.76	47.03	28.56	210
100	94	4	10	6.22	48.82	25.13	199
101	94	4	11	16.02	62.17	40.85	222
102	94	4	12	43.76	47.69	47.27	260
103	94	4	13	17.98	48.95	25.18	237
104	94	4	14	18.44	44.21	33.09	213
105	94	4	15	37.4	83.8	69.92	213
106	94	4	16	21.62	68.08	48.77	175
107	94	4	17	11.86	52.37	32.56	211
108	94	4	18	23.7	49.48	42.08	235
109	94	4	19	40.53	35.64	27.22	236
110	94	4	20	47.35	32.87	27.04	245
111	94	4	21	20.39	33.41	33.49	207
112	94	4	22	16.75	33.63	31.52	195
113	94	4	23	21.22	30.52	30.2	171
114	94	4	24	24.27	30.93	33.21	170
115	94	4	25	25.62	30.17	30.15	211
116	94	4	26	35.51	32.99	25.63	232
117	94	4	27	39.05	34.51	25.02	213
118	94	4	28	49.63	50.4	32.65	212
119	94	4	29	53.23	55.64	34.54	209
